Date;Indices;Previous close;Day Open;Day High;Day Low;LTP/Closing Prices
2020/04/30;Dow Jones Industrial Average;24101.55;24490.37;24764.77;24453.99;24633.86
2020/04/30;Brazil Bovespa Stock Index;81312.23;81312.89;83598.01;81312.89;83170.8
2020/04/30;Santiago Index IPSA;3900.92;3900.92;2827.13;2743.25;2823.26
2020/04/30;S&P 500 INDEX;2863.39;2918.46;2954.86;2912.16;2939.51
2020/04/30;Canada S&P/TSX 60;894.17;906.87;922.16;905.8;920.28
2020/04/30;IPC;35830.81;36095.72;35888.47;35065.76;36870.09
2020/05/01;Australia ASX All Ordinaries;5597.7;5597.7;5597.7;5370.8;5387.6
2020/05/01;Shanghai SE Composite Index;2822.44;2832.38;2865.59;2832.38;2860.08
2020/05/01;Hang Seng;24575.96;24786.02;24855.47;24549.62;24643.59
2020/05/01;Mumbai Sensex;32720.16;33381.19;33887.25;33354.93;33717.62
2020/05/01;Nikkei 225;20193.69;19991.97;20000.25;19698.48;19730.41
2020/05/01;Taiwan TSEC 50 Index;10772.22;10826.26;11012.78;10826.26;10992.14
2020/05/01;FTSE 100;6115.25;6115.25;6151.58;5897.91;5901.21
2020/05/01;CAC 40;4671.11;4693.28;4719.74;4554.91;4572.18
2020/05/01;Swiss Market Index;9865.32;9850.87;9876.2;9629.4;9629.4
2020/05/01;Euronext 100;919.99;923.15;926.99;897.3;899.87
2020/05/01;DAX;11107.74;11195.21;11234.16;10839.3;10861.64
2020/05/01;Dow Jones Industrial Average;24633.86;24585.57;24585.57;24186.9;24345.72
2020/05/01;Brazil Bovespa Stock Index;83170.8;83169.34;83169.34;80168.06;80505.89
2020/05/01;Santiago Index IPSA;2823.26;2823.26;2823.78;2771.85;2795.71
2020/05/01;S&P 500 INDEX;2939.51;2930.91;2930.91;2892.47;2912.43
2020/05/01;Canada S&P/TSX 60;920.28;912.56;912.56;891.63;891.63
2020/05/01;IPC;35830.81;36923.5;36923.5;36096.86;36470.11
2020/05/04;Australia ASX All Ordinaries;5325;5325;5352.1;5246.4;5338.1
2020/05/04;Shanghai SE Composite Index;2822.44;2832.38;2865.59;2832.38;2860.08
2020/05/04;Hang Seng;24643.59;23895.11;23897.53;23678.4;23758.17
2020/05/04;Mumbai Sensex;32720.16;33381.19;33887.25;33354.93;33717.62
2020/05/04;Nikkei 225;20193.69;19991.97;20000.25;19551.73;19619.35
2020/05/04;Taiwan TSEC 50 Index;10992.14;10781.51;10781.51;10658.5;10730.57
2020/05/04;FTSE 100;5901.21;5901.21;5901.21;5746.06;5763.06
2020/05/04;CAC 40;4671.11;4693.28;4719.74;4554.91;4572.18
2020/05/04;Swiss Market Index;9865.32;9850.87;9877.3;9629.4;9629.4
2020/05/04;Euronext 100;919.99;923.15;926.99;897.3;899.87
2020/05/04;DAX;11107.74;11195.21;11235.57;10839.3;10861.64
2020/05/04;Dow Jones Industrial Average;24345.72;24120.78;24120.78;23645.3;23723.69
2020/05/04;Brazil Bovespa Stock Index;83170.8;83169.34;83169.34;80168.06;80505.89
2020/05/04;Santiago Index IPSA;4014.7;4014.7;2823.78;2771.85;2795.71
2020/05/04;S&P 500 INDEX;2912.43;2869.09;2869.09;2821.61;2830.71
2020/05/04;Canada S&P/TSX 60;891.63;878.93;885.4;877.2;882.65
2020/05/04;IPC;36870.09;36923.5;36923.5;36096.86;36470.11
2020/05/05;Australia ASX All Ordinaries;5389.5;5389.5;5476.5;5389.5;5440.6
2020/05/05;Shanghai SE Composite Index;2822.44;2832.38;2865.59;2832.38;2860.08
2020/05/05;Hang Seng;23613.8;23755.77;23872.76;23697.88;23749.36
2020/05/05;Mumbai Sensex;33717.62;32748.14;32748.14;31632.02;31715.35
2020/05/05;Nikkei 225;20193.69;19991.97;20000.25;19551.73;19619.35
2020/05/05;Taiwan TSEC 50 Index;10720.48;10756.95;10833.53;10756.95;10772.81
2020/05/05;FTSE 100;5763.06;5763.06;5792.85;5702.03;5753.78
2020/05/05;CAC 40;4572.18;4413.14;4427.74;4362.13;4378.23
2020/05/05;Swiss Market Index;9629.4;9618.93;9619.38;9389.66;9390.27
2020/05/05;Euronext 100;899.87;870.19;870.89;860.21;863.56
2020/05/05;DAX;10861.64;10543.36;10578.43;10426.06;10466.8
2020/05/05;Dow Jones Industrial Average;23723.69;23581.55;23769.56;23361.16;23749.76
2020/05/05;Brazil Bovespa Stock Index;80505.89;80501.17;80501.65;77640.22;78876.22
2020/05/05;Santiago Index IPSA;3977.56;3977.56;2795.71;2689.54;2706.34
2020/05/05;S&P 500 INDEX;2830.71;2815.01;2844.24;2797.85;2842.74
2020/05/05;Canada S&P/TSX 60;882.65;880.17;893.1;877.58;893.1
2020/05/05;IPC;36470.11;36266.73;36440.82;35645.4;36370.43
2020/05/06;Australia ASX All Ordinaries;5478.1;5478.1;5482.3;5431.7;5440.1
2020/05/06;Shanghai SE Composite Index;2860.08;2831.63;2853.24;2830.65;2851.35
2020/05/06;Hang Seng;23868.66;23868.02;24076.71;23868.02;24008.06
2020/05/06;Mumbai Sensex;31715.35;32182.9;32264;31403.57;31453.51
2020/05/06;Nikkei 225;20193.69;19991.97;20000.25;19551.73;19619.35
2020/05/06;Taiwan TSEC 50 Index;10774.61;10771.09;10828.73;10708.1;10798.25
2020/05/06;FTSE 100;5753.78;5753.78;5869.45;5753.78;5849.42
2020/05/06;CAC 40;4378.23;4455.74;4492.52;4419.95;4483.13
2020/05/06;Swiss Market Index;9390.27;9444.58;9512.17;9416.14;9512.17
2020/05/06;Euronext 100;863.56;877.74;882.49;869.87;882.25
2020/05/06;DAX;10466.8;10627.07;10736.95;10518.94;10729.46
2020/05/06;Dow Jones Industrial Average;23749.76;23958.88;24169.72;23868.91;23883.09
2020/05/06;Brazil Bovespa Stock Index;78876.22;78887.12;81052.61;78886.34;79470.78
2020/05/06;Santiago Index IPSA;3853.27;3853.27;2771.88;2706.34;2754.89
2020/05/06;S&P 500 INDEX;2842.74;2868.88;2898.23;2863.55;2868.44
2020/05/06;Canada S&P/TSX 60;893.1;902.18;904.59;893.93;896.99
2020/05/06;IPC;36370.43;36357.4;36852.59;36356.85;36616.06
2020/05/07;Australia ASX All Ordinaries;5464.8;5464.8;5468.3;5428.6;5440.6
2020/05/07;Shanghai SE Composite Index;2878.14;2876.47;2876.47;2866.3;2870.22
2020/05/07;Hang Seng;24137.48;24120.81;24120.81;23913.5;23996.21
2020/05/07;Mumbai Sensex;31715.35;32182.9;31970.84;31158.75;31685.75
2020/05/07;Nikkei 225;19619.35;19468.52;19623.66;19448.93;19587.42
2020/05/07;Taiwan TSEC 50 Index;10774.98;10778.53;10821.55;10775.16;10810.74
2020/05/07;FTSE 100;5753.78;5753.78;5897.44;5839.57;5853.76
2020/05/07;CAC 40;4378.23;4455.74;4484.16;4425.78;4433.38
2020/05/07;Swiss Market Index;8635.68;7774.88;3848.74;18;875.01
2020/05/07;Euronext 100;863.56;877.74;883.84;874.18;875.01
2020/05/07;DAX;10729.46;10719.52;10773.86;10598.9;10606.2
2020/05/07;Dow Jones Industrial Average;23664.64;23837.21;23982.06;23837.21;23973.84
2020/05/07;Brazil Bovespa Stock Index;79063.68;79072.28;79989.25;79072.28;79506.87
2020/05/07;Santiago Index IPSA;2781.09;2781.09;2781.09;2781.09;2781.09
2020/05/07;S&P 500 INDEX;2848.42;2878.26;2891.7;2878.26;2887.17
2020/05/07;Canada S&P/TSX 60;893.1;902.18;904.59;893.93;896.99
2020/05/07;IPC;36986.2;0;0;0;36986.2
2020/05/08;Australia ASX All Ordinaries;5449.9;5449.9;5521.2;5449.9;5498.7
2020/05/08;Shanghai SE Composite Index;2871.52;2882.71;2893.41;2879.2;2892.7
2020/05/08;Hang Seng;23980.63;24193.36;24238.14;24097.12;24210.6
2020/05/08;Mumbai Sensex;31443.38;0;0;0;31443.38
2020/05/08;Nikkei 225;19674.77;19972.09;20088.94;19894.58;20025.91
2020/05/08;Taiwan TSEC 50 Index;10842.92;10883.22;10970.7;10883.22;10924.94
2020/05/08;FTSE 100;5853.76;5853.76;5941.86;5853.6;5935.98
2020/05/08;CAC 40;4433.38;4456.44;4503.94;4440.98;4501.44
2020/05/08;Swiss Market Index;9571.7;9609.13;9635.96;9555.61;9617.98
2020/05/08;Euronext 100;875.01;879.9;889.75;878.37;889.75
2020/05/08;DAX;10606.2;10640.77;10761.86;10617.23;10759.27
2020/05/08;Dow Jones Industrial Average;23664.64;23837.21;24094.62;23834.39;23875.89
2020/05/08;Brazil Bovespa Stock Index;79063.68;79072.28;80061.19;78061.44;78118.57
2020/05/08;Santiago Index IPSA;3964.94;3964.94;2828.37;2781.09;2802.11
2020/05/08;S&P 500 INDEX;2848.42;2878.26;2901.92;2876.48;2881.19
2020/05/08;Canada S&P/TSX 60;898.73;906.53;910.18;896.22;897.5
2020/05/08;IPC;36986.2;37136.92;37321.3;36662.82;36792.41
2020/05/11;Australia ASX All Ordinaries;5488;5488;5557;5488;5556.1
2020/05/11;Shanghai SE Composite Index;2895.34;2901.57;2914.28;2901.3;2903.99
2020/05/11;Hang Seng;24230.17;24470.18;24766.83;24470.18;24705.55
2020/05/11;Mumbai Sensex;31443.38;32083.32;32088.51;31598;31642.7
2020/05/11;Nikkei 225;20179.09;20333.73;20534.88;20285.04;20492.91
2020/05/11;Taiwan TSEC 50 Index;10901.42;10942.18;11039.11;10942.18;11036.29
2020/05/11;FTSE 100;5853.76;5853.76;5941.86;5853.6;5935.98
2020/05/11;CAC 40;4501.44;4538.09;4560.19;4519.59;4549.64
2020/05/11;Swiss Market Index;9617.98;9666.66;9688.63;9628.76;9665.35
2020/05/11;Euronext 100;889.75;897.43;902.07;893.82;900.37
2020/05/11;DAX;10759.27;10882.44;10918.32;10819.07;10904.48
2020/05/11;Dow Jones Industrial Average;23875.89;24107.82;24349.9;24107.05;24331.32
2020/05/11;Brazil Bovespa Stock Index;78118.57;78151.87;80556.62;78151.87;80263.35
2020/05/11;Santiago Index IPSA;3999.54;3999.54;2819.46;2673.38;2673.38
2020/05/11;S&P 500 INDEX;2881.19;2908.83;2932.16;2902.88;2929.8
